Gender,Program,SchoolType,Reason,Unknown,Period,Val
總計,博士日間,總計,因工作需求,-,9800,1304.000
總計,博士日間,總計,因懷孕,-,9800,98.000
總計,專科,私立,因工作需求,-,9800,687.000
總計,專科,私立,因懷孕,-,9800,23.000
總計,專科,私立,其他原因,-,9800,3483.000
男,博士日間,公立,因傷病,-,9800,133.000
男,博士日間,公立,因經濟困難,-,9800,204.000
男,博士日間,公立,因學業志趣,-,9800,341.000
男,博士日間,公立,因工作需求,-,9800,831.000
男,博士日間,公立,其他原因,-,9800,1833.000
男,博士日間,私立,總計,-,9800,709.000
男,博士日間,總計,因傷病,-,9800,168.000
男,博士日間,總計,因經濟困難,-,9800,239.000
男,博士日間,總計,因學業志趣,-,9800,367.000
男,博士日間,總計,因工作需求,-,9800,992.000
男,博士日間,總計,其他原因,-,9800,2285.000
男,博士日間,公立,總計,-,9800,3342.000
男,博士日間,總計,總計,-,9800,4051.000
男,博士日間,私立,因傷病,-,9800,35.000
男,博士日間,私立,因經濟困難,-,9800,35.000
男,博士日間,私立,因學業志趣,-,9800,26.000
男,博士日間,私立,因工作需求,-,9800,161.000
男,博士日間,私立,其他原因,-,9800,452.000
女,博士日間,私立,總計,-,9800,349.000
女,博士日間,私立,因傷病,-,9800,27.000
女,博士日間,私立,因經濟困難,-,9800,17.000
女,博士日間,私立,因學業志趣,-,9800,7.000
女,博士日間,私立,因工作需求,-,9800,62.000
女,博士日間,私立,因懷孕,-,9800,11.000
女,博士日間,公立,因傷病,-,9800,84.000
女,博士日間,公立,因經濟困難,-,9800,72.000
女,博士日間,公立,因學業志趣,-,9800,95.000
女,博士日間,公立,因工作需求,-,9800,250.000
女,博士日間,公立,因懷孕,-,9800,87.000
女,博士日間,公立,其他原因,-,9800,753.000
女,博士日間,總計,因經濟困難,-,9800,89.000
女,博士日間,總計,因學業志趣,-,9800,102.000
女,博士日間,總計,因工作需求,-,9800,312.000
女,博士日間,總計,因懷孕,-,9800,98.000
女,博士日間,總計,其他原因,-,9800,978.000
女,博士日間,公立,總計,-,9800,1341.000
女,博士日間,總計,總計,-,9800,1690.000
女,博士日間,總計,因傷病,-,9800,111.000
女,博士日間,私立,其他原因,-,9800,225.000
總計,博士日間,私立,因工作需求,-,9800,223.000
總計,博士日間,私立,因懷孕,-,9800,11.000
總計,博士日間,私立,其他原因,-,9800,677.000
總計,博士日間,公立,因懷孕,-,9800,87.000
總計,博士日間,公立,其他原因,-,9800,2586.000
總計,博士日間,私立,總計,-,9800,1058.000
總計,博士日間,私立,因傷病,-,9800,62.000
總計,博士日間,私立,因經濟困難,-,9800,52.000
總計,博士日間,私立,因學業志趣,-,9800,33.000
總計,博士日間,總計,其他原因,-,9800,3263.000
總計,博士日間,公立,總計,-,9800,4683.000
總計,博士日間,公立,因傷病,-,9800,217.000
總計,博士日間,公立,因經濟困難,-,9800,276.000
總計,博士日間,公立,因學業志趣,-,9800,436.000
總計,博士日間,公立,因工作需求,-,9800,1081.000
總計,博士在職,總計,總計,-,9800,24.000
總計,博士在職,總計,因經濟困難,-,9800,1.000
總計,博士在職,總計,因工作需求,-,9800,17.000
總計,博士在職,總計,因懷孕,-,9800,1.000
總計,博士在職,總計,其他原因,-,9800,5.000
總計,博士在職,公立,總計,-,9800,24.000
男,博士在職,總計,總計,-,9800,19.000
男,博士在職,總計,因工作需求,-,9800,14.000
男,博士在職,總計,其他原因,-,9800,5.000
男,博士在職,公立,總計,-,9800,19.000
男,博士在職,公立,因工作需求,-,9800,14.000
男,博士在職,公立,其他原因,-,9800,5.000
女,博士在職,公立,因工作需求,-,9800,3.000
女,博士在職,公立,因懷孕,-,9800,1.000
女,博士在職,總計,總計,-,9800,5.000
女,博士在職,總計,因經濟困難,-,9800,1.000
女,博士在職,總計,因工作需求,-,9800,3.000
女,博士在職,總計,因懷孕,-,9800,1.000
女,博士在職,公立,總計,-,9800,5.000
女,博士在職,公立,因經濟困難,-,9800,1.000
總計,博士在職,公立,因經濟困難,-,9800,1.000
總計,博士在職,公立,因工作需求,-,9800,17.000
總計,博士在職,公立,因懷孕,-,9800,1.000
總計,博士在職,公立,其他原因,-,9800,5.000
男,碩士暑,總計,總計,-,9800,109.000
男,碩士暑,總計,因傷病,-,9800,2.000
男,碩士暑,總計,因經濟困難,-,9800,1.000
總計,碩士暑,總計,總計,-,9800,368.000
總計,碩士暑,總計,因傷病,-,9800,12.000
總計,碩士暑,總計,因經濟困難,-,9800,3.000
總計,碩士暑,總計,因工作需求,-,9800,73.000
總計,碩士暑,總計,因懷孕,-,9800,20.000
總計,碩士暑,總計,其他原因,-,9800,260.000
男,碩士暑,公立,其他原因,-,9800,79.000
男,碩士暑,總計,因工作需求,-,9800,27.000
男,碩士暑,總計,其他原因,-,9800,79.000
男,碩士暑,公立,總計,-,9800,109.000
男,碩士暑,公立,因傷病,-,9800,2.000
男,碩士暑,公立,因經濟困難,-,9800,1.000
男,碩士暑,公立,因工作需求,-,9800,27.000
女,碩士暑,公立,總計,-,9800,259.000
女,碩士暑,公立,因傷病,-,9800,10.000
女,碩士暑,公立,因經濟困難,-,9800,2.000
女,碩士暑,公立,因工作需求,-,9800,46.000
女,碩士暑,公立,因懷孕,-,9800,20.000
女,碩士暑,公立,其他原因,-,9800,181.000
女,碩士暑,總計,總計,-,9800,259.000
女,碩士暑,總計,因傷病,-,9800,10.000
女,碩士暑,總計,因經濟困難,-,9800,2.000
女,碩士暑,總計,因工作需求,-,9800,46.000
女,碩士暑,總計,因懷孕,-,9800,20.000
女,碩士暑,總計,其他原因,-,9800,181.000
總計,碩士暑,公立,總計,-,9800,368.000
總計,碩士暑,公立,因傷病,-,9800,12.000
總計,碩士暑,公立,因經濟困難,-,9800,3.000
總計,碩士暑,公立,因工作需求,-,9800,73.000
總計,碩士暑,公立,因懷孕,-,9800,20.000
總計,碩士暑,公立,其他原因,-,9800,260.000
男,大學四年制日間,私立,因學業志趣,-,9800,2399.000
男,大學四年制日間,私立,因工作需求,-,9800,469.000
男,大學四年制日間,私立,其他原因,-,9800,6711.000
男,大學四年制日間,總計,總計,-,9800,14651.000
男,大學四年制日間,總計,因傷病,-,9800,907.000
男,大學四年制日間,總計,因經濟困難,-,9800,1188.000
男,大學四年制日間,公立,因學業志趣,-,9800,926.000
男,大學四年制日間,公立,因工作需求,-,9800,126.000
男,大學四年制日間,公立,其他原因,-,9800,1925.000
男,大學四年制日間,私立,總計,-,9800,11139.000
男,大學四年制日間,私立,因傷病,-,9800,630.000
男,大學四年制日間,私立,因經濟困難,-,9800,930.000
男,大學四年制日間,總計,因學業志趣,-,9800,3325.000
男,大學四年制日間,總計,因工作需求,-,9800,595.000
男,大學四年制日間,總計,其他原因,-,9800,8636.000
男,大學四年制日間,公立,總計,-,9800,3512.000
男,大學四年制日間,公立,因傷病,-,9800,277.000
男,大學四年制日間,公立,因經濟困難,-,9800,258.000
女,大學四年制日間,公立,因懷孕,-,9800,9.000
女,大學四年制日間,公立,其他原因,-,9800,1050.000
女,大學四年制日間,私立,總計,-,9800,7142.000
女,大學四年制日間,私立,因傷病,-,9800,628.000
女,大學四年制日間,私立,因經濟困難,-,9800,1333.000
女,大學四年制日間,私立,因學業志趣,-,9800,1807.000
女,大學四年制日間,總計,其他原因,-,9800,3912.000
女,大學四年制日間,公立,總計,-,9800,2103.000
女,大學四年制日間,公立,因傷病,-,9800,240.000
女,大學四年制日間,公立,因經濟困難,-,9800,205.000
女,大學四年制日間,公立,因學業志趣,-,9800,497.000
女,大學四年制日間,公立,因工作需求,-,9800,102.000
女,大學四年制日間,總計,總計,-,9800,9245.000
女,大學四年制日間,總計,因傷病,-,9800,868.000
女,大學四年制日間,總計,因經濟困難,-,9800,1538.000
女,大學四年制日間,總計,因學業志趣,-,9800,2304.000
女,大學四年制日間,總計,因工作需求,-,9800,558.000
女,大學四年制日間,總計,因懷孕,-,9800,65.000
女,大學四年制日間,私立,因工作需求,-,9800,456.000
女,大學四年制日間,私立,因懷孕,-,9800,56.000
女,大學四年制日間,私立,其他原因,-,9800,2862.000
總計,大學四年制日間,總計,總計,-,9800,23896.000
總計,大學四年制日間,總計,因傷病,-,9800,1775.000
總計,大學四年制日間,總計,因經濟困難,-,9800,2726.000
總計,大學四年制日間,總計,因學業志趣,-,9800,5629.000
總計,大學四年制日間,私立,因經濟困難,-,9800,2263.000
總計,大學四年制日間,私立,因學業志趣,-,9800,4206.000
總計,大學四年制日間,私立,因工作需求,-,9800,925.000
總計,大學四年制日間,私立,因懷孕,-,9800,56.000
總計,大學四年制日間,私立,其他原因,-,9800,9573.000
總計,大學四年制日間,公立,因學業志趣,-,9800,1423.000
總計,大學四年制日間,公立,因工作需求,-,9800,228.000
總計,大學四年制日間,公立,因懷孕,-,9800,9.000
總計,大學四年制日間,公立,其他原因,-,9800,2975.000
總計,大學四年制日間,私立,總計,-,9800,18281.000
總計,大學四年制日間,私立,因傷病,-,9800,1258.000
總計,大學四年制日間,總計,因工作需求,-,9800,1153.000
總計,大學四年制日間,總計,因懷孕,-,9800,65.000
總計,大學四年制日間,總計,其他原因,-,9800,12548.000
總計,大學四年制日間,公立,總計,-,9800,5615.000
總計,大學四年制日間,公立,因傷病,-,9800,517.000
總計,大學四年制日間,公立,因經濟困難,-,9800,463.000
男,大學四年制進修,公立,因經濟困難,-,9800,70.000
男,大學四年制進修,公立,因學業志趣,-,9800,55.000
男,大學四年制進修,公立,因工作需求,-,9800,253.000
男,大學四年制進修,公立,其他原因,-,9800,476.000
男,大學四年制進修,私立,總計,-,9800,7983.000
男,大學四年制進修,私立,因傷病,-,9800,200.000
男,大學四年制進修,總計,因經濟困難,-,9800,840.000
男,大學四年制進修,總計,因學業志趣,-,9800,889.000
男,大學四年制進修,總計,因工作需求,-,9800,2167.000
男,大學四年制進修,總計,其他原因,-,9800,4741.000
男,大學四年制進修,公立,總計,-,9800,887.000
男,大學四年制進修,公立,因傷病,-,9800,33.000
男,大學四年制進修,總計,總計,-,9800,8870.000
男,大學四年制進修,總計,因傷病,-,9800,233.000
男,大學四年制進修,私立,因經濟困難,-,9800,770.000
男,大學四年制進修,私立,因學業志趣,-,9800,834.000
男,大學四年制進修,私立,因工作需求,-,9800,1914.000
男,大學四年制進修,私立,其他原因,-,9800,4265.000
女,大學四年制進修,私立,因經濟困難,-,9800,1018.000
女,大學四年制進修,私立,因學業志趣,-,9800,564.000
女,大學四年制進修,私立,因工作需求,-,9800,1475.000
女,大學四年制進修,私立,因懷孕,-,9800,125.000
女,大學四年制進修,私立,其他原因,-,9800,2088.000
女,大學四年制進修,總計,總計,-,9800,6204.000
女,大學四年制進修,總計,因傷病,-,9800,325.000
女,大學四年制進修,總計,因經濟困難,-,9800,1115.000
女,大學四年制進修,總計,因學業志趣,-,9800,605.000
女,大學四年制進修,公立,因學業志趣,-,9800,41.000
女,大學四年制進修,公立,因工作需求,-,9800,167.000
女,大學四年制進修,公立,因懷孕,-,9800,14.000
女,大學四年制進修,公立,其他原因,-,9800,290.000
女,大學四年制進修,私立,總計,-,9800,5537.000
女,大學四年制進修,私立,因傷病,-,9800,267.000
女,大學四年制進修,總計,因工作需求,-,9800,1642.000
女,大學四年制進修,總計,因懷孕,-,9800,139.000
女,大學四年制進修,總計,其他原因,-,9800,2378.000
女,大學四年制進修,公立,總計,-,9800,667.000
女,大學四年制進修,公立,因傷病,-,9800,58.000
女,大學四年制進修,公立,因經濟困難,-,9800,97.000
總計,大學四年制進修,私立,其他原因,-,9800,6353.000
總計,大學四年制進修,私立,總計,-,9800,13520.000
總計,大學四年制進修,私立,因傷病,-,9800,467.000
總計,大學四年制進修,私立,因經濟困難,-,9800,1788.000
總計,大學四年制進修,私立,因學業志趣,-,9800,1398.000
總計,大學四年制進修,私立,因工作需求,-,9800,3389.000
總計,大學四年制進修,私立,因懷孕,-,9800,125.000
總計,大學四年制進修,公立,因傷病,-,9800,91.000
總計,大學四年制進修,公立,因經濟困難,-,9800,167.000
總計,大學四年制進修,公立,因學業志趣,-,9800,96.000
總計,大學四年制進修,公立,因工作需求,-,9800,420.000
總計,大學四年制進修,公立,因懷孕,-,9800,14.000
總計,大學四年制進修,公立,其他原因,-,9800,766.000
總計,大學四年制進修,總計,因經濟困難,-,9800,1955.000
總計,大學四年制進修,總計,因學業志趣,-,9800,1494.000
總計,大學四年制進修,總計,因工作需求,-,9800,3809.000
總計,大學四年制進修,總計,因懷孕,-,9800,139.000
總計,大學四年制進修,總計,其他原因,-,9800,7119.000
總計,大學四年制進修,公立,總計,-,9800,1554.000
總計,大學四年制進修,總計,總計,-,9800,15074.000
總計,大學四年制進修,總計,因傷病,-,9800,558.000
總計,大學二年制日間,總計,總計,-,9800,846.000
總計,大學二年制日間,總計,因傷病,-,9800,42.000
總計,大學二年制日間,總計,因經濟困難,-,9800,124.000
總計,大學二年制日間,總計,因學業志趣,-,9800,111.000
總計,大學二年制日間,總計,因工作需求,-,9800,93.000
總計,大學二年制日間,總計,因懷孕,-,9800,10.000
男,大學二年制日間,私立,總計,-,9800,371.000
男,大學二年制日間,私立,因傷病,-,9800,11.000
男,大學二年制日間,私立,因經濟困難,-,9800,31.000
男,大學二年制日間,私立,因學業志趣,-,9800,37.000
男,大學二年制日間,私立,因工作需求,-,9800,17.000
男,大學二年制日間,私立,其他原因,-,9800,275.000
男,大學二年制日間,公立,總計,-,9800,117.000
男,大學二年制日間,公立,因傷病,-,9800,5.000
男,大學二年制日間,公立,因經濟困難,-,9800,21.000
男,大學二年制日間,公立,因學業志趣,-,9800,13.000
男,大學二年制日間,公立,因工作需求,-,9800,6.000
男,大學二年制日間,公立,其他原因,-,9800,72.000
男,大學二年制日間,總計,總計,-,9800,488.000
男,大學二年制日間,總計,因傷病,-,9800,16.000
男,大學二年制日間,總計,因經濟困難,-,9800,52.000
男,大學二年制日間,總計,因學業志趣,-,9800,50.000
男,大學二年制日間,總計,因工作需求,-,9800,23.000
男,大學二年制日間,總計,其他原因,-,9800,347.000
女,大學二年制日間,私立,總計,-,9800,283.000
女,大學二年制日間,私立,因傷病,-,9800,20.000
女,大學二年制日間,私立,因經濟困難,-,9800,60.000
女,大學二年制日間,私立,因學業志趣,-,9800,48.000
女,大學二年制日間,私立,因工作需求,-,9800,58.000
女,大學二年制日間,私立,因懷孕,-,9800,8.000
女,大學二年制日間,公立,因傷病,-,9800,6.000
女,大學二年制日間,公立,因經濟困難,-,9800,12.000
女,大學二年制日間,公立,因學業志趣,-,9800,13.000
女,大學二年制日間,公立,因工作需求,-,9800,12.000
女,大學二年制日間,公立,因懷孕,-,9800,2.000
女,大學二年制日間,公立,其他原因,-,9800,30.000
女,大學二年制日間,總計,因經濟困難,-,9800,72.000
女,大學二年制日間,總計,因學業志趣,-,9800,61.000
女,大學二年制日間,總計,因工作需求,-,9800,70.000
女,大學二年制日間,總計,因懷孕,-,9800,10.000
女,大學二年制日間,總計,其他原因,-,9800,119.000
女,大學二年制日間,公立,總計,-,9800,75.000
女,大學二年制日間,總計,總計,-,9800,358.000
女,大學二年制日間,總計,因傷病,-,9800,26.000
女,大學二年制日間,私立,其他原因,-,9800,89.000
總計,大學二年制日間,公立,因懷孕,-,9800,2.000
總計,大學二年制日間,公立,其他原因,-,9800,102.000
總計,大學二年制日間,私立,總計,-,9800,654.000
總計,大學二年制日間,私立,因傷病,-,9800,31.000
總計,大學二年制日間,私立,因經濟困難,-,9800,91.000
總計,大學二年制日間,私立,因學業志趣,-,9800,85.000
總計,大學二年制日間,總計,其他原因,-,9800,466.000
總計,大學二年制日間,公立,總計,-,9800,192.000
總計,大學二年制日間,公立,因傷病,-,9800,11.000
總計,大學二年制日間,公立,因經濟困難,-,9800,33.000
總計,大學二年制日間,公立,因學業志趣,-,9800,26.000
總計,大學二年制日間,公立,因工作需求,-,9800,18.000
總計,大學二年制進修,總計,總計,-,9800,3078.000
總計,大學二年制進修,總計,因傷病,-,9800,137.000
總計,大學二年制進修,總計,因經濟困難,-,9800,247.000
總計,大學二年制進修,總計,因學業志趣,-,9800,169.000
總計,大學二年制進修,總計,因工作需求,-,9800,1235.000
總計,大學二年制進修,總計,因懷孕,-,9800,90.000
總計,大學二年制日間,私立,因工作需求,-,9800,75.000
總計,大學二年制日間,私立,因懷孕,-,9800,8.000
總計,大學二年制日間,私立,其他原因,-,9800,364.000
男,大學二年制進修,公立,因學業志趣,-,9800,24.000
男,大學二年制進修,公立,因工作需求,-,9800,152.000
男,大學二年制進修,公立,其他原因,-,9800,47.000
男,大學二年制進修,私立,總計,-,9800,1029.000
男,大學二年制進修,私立,因傷病,-,9800,31.000
男,大學二年制進修,私立,因經濟困難,-,9800,47.000
男,大學二年制進修,總計,因學業志趣,-,9800,70.000
男,大學二年制進修,總計,因工作需求,-,9800,577.000
男,大學二年制進修,總計,其他原因,-,9800,527.000
男,大學二年制進修,公立,總計,-,9800,251.000
男,大學二年制進修,公立,因傷病,-,9800,2.000
男,大學二年制進修,公立,因經濟困難,-,9800,26.000
男,大學二年制進修,總計,總計,-,9800,1280.000
男,大學二年制進修,總計,因傷病,-,9800,33.000
男,大學二年制進修,總計,因經濟困難,-,9800,73.000
男,大學二年制進修,私立,因學業志趣,-,9800,46.000
男,大學二年制進修,私立,因工作需求,-,9800,425.000
男,大學二年制進修,私立,其他原因,-,9800,480.000
女,大學二年制進修,私立,因傷病,-,9800,91.000
女,大學二年制進修,私立,因經濟困難,-,9800,135.000
女,大學二年制進修,私立,因學業志趣,-,9800,83.000
女,大學二年制進修,私立,因工作需求,-,9800,540.000
女,大學二年制進修,私立,因懷孕,-,9800,75.000
女,大學二年制進修,私立,其他原因,-,9800,605.000
女,大學二年制進修,公立,因經濟困難,-,9800,39.000
女,大學二年制進修,公立,因學業志趣,-,9800,16.000
女,大學二年制進修,公立,因工作需求,-,9800,118.000
女,大學二年制進修,公立,因懷孕,-,9800,15.000
女,大學二年制進修,公立,其他原因,-,9800,68.000
女,大學二年制進修,私立,總計,-,9800,1529.000
女,大學二年制進修,總計,因學業志趣,-,9800,99.000
女,大學二年制進修,總計,因工作需求,-,9800,658.000
女,大學二年制進修,總計,因懷孕,-,9800,90.000
女,大學二年制進修,總計,其他原因,-,9800,673.000
女,大學二年制進修,公立,總計,-,9800,269.000
女,大學二年制進修,公立,因傷病,-,9800,13.000
女,大學二年制進修,總計,總計,-,9800,1798.000
女,大學二年制進修,總計,因傷病,-,9800,104.000
女,大學二年制進修,總計,因經濟困難,-,9800,174.000
總計,大學二年制進修,私立,因工作需求,-,9800,965.000
總計,大學二年制進修,私立,因懷孕,-,9800,75.000
總計,大學二年制進修,私立,其他原因,-,9800,1085.000
總計,大學二年制進修,公立,因懷孕,-,9800,15.000
總計,大學二年制進修,公立,其他原因,-,9800,115.000
總計,大學二年制進修,私立,總計,-,9800,2558.000
總計,大學二年制進修,私立,因傷病,-,9800,122.000
總計,大學二年制進修,私立,因經濟困難,-,9800,182.000
總計,大學二年制進修,私立,因學業志趣,-,9800,129.000
總計,大學二年制進修,總計,其他原因,-,9800,1200.000
總計,大學二年制進修,公立,總計,-,9800,520.000
總計,大學二年制進修,公立,因傷病,-,9800,15.000
總計,大學二年制進修,公立,因經濟困難,-,9800,65.000
總計,大學二年制進修,公立,因學業志趣,-,9800,40.000
總計,大學二年制進修,公立,因工作需求,-,9800,270.000
總計,二專進修,總計,總計,-,9800,2358.000
總計,二專進修,總計,因傷病,-,9800,61.000
總計,二專進修,總計,因經濟困難,-,9800,202.000
總計,二專進修,總計,因學業志趣,-,9800,150.000
總計,二專進修,總計,因工作需求,-,9800,596.000
總計,二專進修,總計,因懷孕,-,9800,12.000
男,二專進修,公立,因學業志趣,-,9800,2.000
男,二專進修,公立,因工作需求,-,9800,37.000
男,二專進修,公立,其他原因,-,9800,49.000
男,二專進修,私立,總計,-,9800,1422.000
男,二專進修,私立,因傷病,-,9800,22.000
男,二專進修,私立,因經濟困難,-,9800,82.000
男,二專進修,總計,因學業志趣,-,9800,90.000
男,二專進修,總計,因工作需求,-,9800,332.000
男,二專進修,總計,其他原因,-,9800,984.000
男,二專進修,公立,總計,-,9800,99.000
男,二專進修,公立,因傷病,-,9800,2.000
男,二專進修,公立,因經濟困難,-,9800,9.000
男,二專進修,總計,總計,-,9800,1521.000
男,二專進修,總計,因傷病,-,9800,24.000
男,二專進修,總計,因經濟困難,-,9800,91.000
男,二專進修,私立,因學業志趣,-,9800,88.000
男,二專進修,私立,因工作需求,-,9800,295.000
男,二專進修,私立,其他原因,-,9800,935.000
女,二專進修,總計,總計,-,9800,837.000
女,二專進修,總計,因傷病,-,9800,37.000
女,二專進修,總計,因經濟困難,-,9800,111.000
女,二專進修,總計,因學業志趣,-,9800,60.000
女,二專進修,公立,因學業志趣,-,9800,8.000
女,二專進修,公立,因工作需求,-,9800,52.000
女,二專進修,公立,因懷孕,-,9800,6.000
女,二專進修,公立,其他原因,-,9800,40.000
女,二專進修,私立,總計,-,9800,695.000
女,二專進修,私立,因傷病,-,9800,27.000
女,二專進修,總計,因工作需求,-,9800,264.000
女,二專進修,總計,因懷孕,-,9800,12.000
女,二專進修,總計,其他原因,-,9800,353.000
女,二專進修,公立,總計,-,9800,142.000
女,二專進修,公立,因傷病,-,9800,10.000
女,二專進修,公立,因經濟困難,-,9800,26.000
女,二專進修,私立,因經濟困難,-,9800,85.000
女,二專進修,私立,因學業志趣,-,9800,52.000
女,二專進修,私立,因工作需求,-,9800,212.000
女,二專進修,私立,因懷孕,-,9800,6.000
女,二專進修,私立,其他原因,-,9800,313.000
男,五專,總計,總計,-,9800,1538.000
男,五專,總計,因傷病,-,9800,51.000
男,五專,總計,因經濟困難,-,9800,74.000
男,五專,總計,因學業志趣,-,9800,490.000
男,五專,總計,因工作需求,-,9800,71.000
男,五專,總計,其他原因,-,9800,852.000
男,五專,公立,總計,-,9800,61.000
男,五專,公立,因傷病,-,9800,5.000
